Date, Volume, Open, Close, High, Low, WeightedAvg
1493596800,17584.8872068,1435.08977389,1434.33870284,1435.08977389,1431.33870277,1433.64335747
1493597100,14011.6930564,1434.33870282,1434.0011,1434.33870283,1431.99,1433.49074761
1493597400,19852.0432671,1434.00109999,1434.33870284,1434.33870284,1432.46168052,1433.55368596
1493597700,54104.4377233,1434.33870279,1430,1435.80796929,1430,1432.89199824
1493598000,59967.6104324,1433.31200001,1433.41908721,1434.05611336,1429.01149368,1432.65962175
1493598300,38701.4455431,1433.41908721,1437.19995599,1437.19995599,1431.8561662,1435.02254148
1493598600,39434.7658259,1437.19995594,1438.2,1438.4014678,1435.28325907,1437.56120362
1493598900,55575.7340873,1438.2,1438.76757674,1442,1435.90463274,1440.26538346
1493599200,35033.7956865,1440.9353928,1444.18805335,1444.18805336,1438.76757675,1443.34807719
1493599500,124182.682557,1444.18805335,1435.2215142,1444.3030372,1430.13263714,1433.89461674
1493599800,19541.0311121,1432.46915495,1434.63222872,1435.10849695,1432.4691549,1434.00626123
1493600100,36900.3620072,1434.63222872,1433.62533774,1436.33230269,1432.36204779,1434.41665882
1493600400,118273.773074,1434.11376803,1438.16982277,1443.21381882,1434.08874545,1439.42036196
1493600700,81960.0360394,1438.16982281,1436.42776807,1440.95468803,1433.57563378,1437.1771736
1493601000,90906.5061928,1438.54689675,1437.03286547,1440.85271795,1434.07709702,1436.5495566
1493601300,18510.9987656,1436.87709552,1434.75099843,1438.06684657,1434.20000001,1435.96222623
1493601600,23733.7330402,1437.38083724,1434.2,1437.38083726,1433.70000001,1434.75517723
1493601900,35151.1238283,1436.32244914,1436.92453012,1436.92453012,1434.2,1435.00639746
1493602200,42880.3391694,1436.28043276,1437.73991415,1438.08137025,1434.2,1435.53777672
1493602500,26478.1843418,1436.43741781,1440.99999985,1441.46456117,1436.43741781,1438.79099792
1493602800,31949.4870291,1440.00000001,1438.64752773,1440.99999975,1435.85555521,1438.97404093
1493603100,24030.177403,1438.64752766,1438.21432481,1440.90146859,1436.48900115,1438.75843383
1493603400,23855.3401084,1439.75136989,1436.58253625,1440.29999999,1436.58253625,1438.54693292
1493603700,22279.4069054,1437.9622712,1438.27452587,1438.27452587,1435.00000008,1436.58840714
1493604000,27956.0100773,1438.48763866,1437.41016783,1438.48763866,1434.7489946,1436.14093877
1493604300,9960.36352477,1437.41016782,1438.66285585,1440.3,1435.81172047,1438.1568702
1493604600,16818.9014998,1440.2405805,1442.03419555,1443.19999999,1439.25530499,1441.14161395
1493604900,15888.4069043,1441.48420603,1442.70406254,1442.70406255,1440,1441.21032779
1493605200,32349.2248308,1442.70406254,1437.6343051,1442.70406256,1437.6343051,1440.19274931
1493605500,42415.4232181,1441.42544926,1439.88938659,1443.21682486,1437.61393606,1441.37325582
1493605800,38547.3299012,1442.09692525,1441.66031088,1444,1439.88938681,1441.73235558
1493606100,39610.0917199,1441.66031089,1442.70627296,1445,1441.65407527,1443.39201529
1493606400,14653.1599901,1442.70627298,1443.39715737,1444.99999994,1442.70627296,1444.34891872
1493606700,195326.372577,1444.89549709,1445.99999974,1450,1442.81260992,1447.73936126
1493607000,143790.618274,1445.99999982,1449.99999992,1450,1443.87867405,1448.57641077
1493607300,94417.9271938,1449.99999992,1450.4,1450.88882222,1447,1449.35650214
1493607600,79031.399856,1450.39999997,1455.1988222,1457.70734095,1449.11317576,1453.93294155
1493607900,29033.9408232,1455.65825092,1454.37137782,1458.30556278,1453.14423804,1455.16479928
1493608200,41366.4340196,1455.89882211,1453,1457.10367361,1450.31,1454.55972212
