Date, Volume, Open, Close, High, Low, WeightedAvg
1493596800,0.11027312,9.68e-05,9.695e-05,9.695e-05,9.68e-05,9.694e-05
1493597100,0,9.695e-05,9.695e-05,9.695e-05,9.695e-05,9.695e-05
1493597400,0.005,9.696e-05,9.696e-05,9.696e-05,9.696e-05,9.696e-05
1493597700,0.06068286,9.685e-05,9.66e-05,9.685e-05,9.66e-05,9.674e-05
1493598000,0.01056242,9.698e-05,9.698e-05,9.698e-05,9.698e-05,9.698e-05
1493598300,0,9.698e-05,9.698e-05,9.698e-05,9.698e-05,9.698e-05
1493598600,0,9.698e-05,9.698e-05,9.698e-05,9.698e-05,9.698e-05
1493598900,2.56366906,9.698e-05,9.6e-05,9.698e-05,9.6e-05,9.609e-05
1493599200,1.4855396,9.607e-05,9.591e-05,9.642e-05,9.59e-05,9.592e-05
1493599500,0.00097996,9.591e-05,9.623e-05,9.623e-05,9.591e-05,9.608e-05
1493599800,0.01373567,9.591e-05,9.61e-05,9.61e-05,9.591e-05,9.603e-05
1493600100,0.66708037,9.601e-05,9.593e-05,9.601e-05,9.59e-05,9.597e-05
1493600400,0.01124063,9.612e-05,9.612e-05,9.612e-05,9.612e-05,9.612e-05
1493600700,0.1090028,9.612e-05,9.612e-05,9.612e-05,9.591e-05,9.61e-05
1493601000,0.00406533,9.645e-05,9.645e-05,9.645e-05,9.645e-05,9.645e-05
1493601300,0.06711734,9.664e-05,9.664e-05,9.664e-05,9.664e-05,9.664e-05
1493601600,0.08727367,9.645e-05,9.645e-05,9.645e-05,9.645e-05,9.645e-05
1493601900,0,9.645e-05,9.645e-05,9.645e-05,9.645e-05,9.645e-05
1493602200,0.19034768,9.663e-05,9.663e-05,9.663e-05,9.663e-05,9.663e-05
1493602500,1.74915333,9.666e-05,9.59e-05,9.666e-05,9.59e-05,9.617e-05
1493602800,0.05819233,9.591e-05,9.59e-05,9.591e-05,9.59e-05,9.59e-05
1493603100,0.00178072,9.661e-05,9.647e-05,9.661e-05,9.647e-05,9.654e-05
1493603400,0.0028944,9.648e-05,9.648e-05,9.648e-05,9.648e-05,9.648e-05
1493603700,0.61353378,9.591e-05,9.652e-05,9.658e-05,9.591e-05,9.651e-05
1493604000,1.55578339,9.649e-05,9.592e-05,9.649e-05,9.592e-05,9.592e-05
1493604300,0.05322956,9.593e-05,9.592e-05,9.593e-05,9.592e-05,9.592e-05
1493604600,0.09677221,9.594e-05,9.594e-05,9.594e-05,9.594e-05,9.594e-05
1493604900,0.970502,9.595e-05,9.592e-05,9.666e-05,9.592e-05,9.6e-05
1493605200,0.01473342,9.625e-05,9.625e-05,9.625e-05,9.625e-05,9.625e-05
1493605500,1.4461999,9.6e-05,9.602e-05,9.602e-05,9.6e-05,9.601e-05
1493605800,0,9.602e-05,9.602e-05,9.602e-05,9.602e-05,9.602e-05
1493606100,0.00384796,9.602e-05,9.602e-05,9.602e-05,9.602e-05,9.602e-05
1493606400,0.63200236,9.633e-05,9.672e-05,9.676e-05,9.633e-05,9.675e-05
1493606700,0.24219341,9.671e-05,9.602e-05,9.671e-05,9.602e-05,9.646e-05
1493607000,0.12553497,9.604e-05,9.603e-05,9.625e-05,9.603e-05,9.614e-05
1493607300,3.36352143,9.603e-05,9.603e-05,9.603e-05,9.59e-05,9.593e-05
1493607600,0.02445062,9.59e-05,9.59e-05,9.59e-05,9.59e-05,9.59e-05
1493607900,0.55654028,9.598e-05,9.603e-05,9.603e-05,9.59e-05,9.591e-05
1493608200,0.59643718,9.636e-05,9.59e-05,9.672e-05,9.59e-05,9.611e-05
1493608500,0.06093243,9.6e-05,9.591e-05,9.6e-05,9.591e-05,9.599e-05
1493608800,0.00105501,9.591e-05,9.591e-05,9.591e-05,9.591e-05,9.591e-05
1493609100,0.25473672,9.632e-05,9.647e-05,9.648e-05,9.632e-05,9.644e-05
1493609400,0.00024229,9.645e-05,9.645e-05,9.645e-05,9.645e-05,9.645e-05
1493609700,0.00964,9.64e-05,9.64e-05,9.64e-05,9.64e-05,9.64e-05
1493610000,0,9.64e-05,9.64e-05,9.64e-05,9.64e-05,9.64e-05
1493610300,0.01464622,9.601e-05,9.64e-05,9.64e-05,9.6e-05,9.639e-05
1493610600,0.09472911,9.64e-05,9.644e-05,9.644e-05,9.64e-05,9.642e-05
1493610900,0.2008479,9.668e-05,9.651e-05,9.668e-05,9.651e-05,9.667e-05
1493611200,0.55420693,9.662e-05,9.651e-05,9.662e-05,9.651e-05,9.661e-05
1493611500,0,9.651e-05,9.651e-05,9.651e-05,9.651e-05,9.651e-05
1493611800,0.00016122,9.652e-05,9.652e-05,9.652e-05,9.652e-05,9.652e-05
1493612100,0.03811242,9.657e-05,9.658e-05,9.658e-05,9.657e-05,9.657e-05
1493612400,0.00550482,9.658e-05,9.658e-05,9.658e-05,9.658e-05,9.658e-05
1493612700,0,9.658e-05,9.658e-05,9.658e-05,9.658e-05,9.658e-05
1493613000,0.891941,9.666e-05,9.7e-05,9.7e-05,9.666e-05,9.697e-05
1493613300,0.4686551,9.701e-05,9.715e-05,9.715e-05,9.701e-05,9.714e-05
1493613600,0.40482038,9.711e-05,9.739e-05,9.739e-05,9.711e-05,9.737e-05
1493613900,0.35188837,9.72e-05,9.739e-05,9.739e-05,9.72e-05,9.738e-05
1493614200,0.00301615,9.741e-05,9.741e-05,9.741e-05,9.74e-05,9.74e-05
1493614500,0.03897212,9.741e-05,9.759e-05,9.759e-05,9.741e-05,9.75e-05
1493614800,0.0734938,9.75e-05,9.755e-05,9.759e-05,9.75e-05,9.758e-05
1493615100,0.0271546,9.762e-05,9.769e-05,9.769e-05,9.762e-05,9.763e-05
1493615400,0.34726368,9.77e-05,9.75e-05,9.8e-05,9.75e-05,9.785e-05
1493615700,0.17380725,9.74e-05,9.793e-05,9.793e-05,9.711e-05,9.735e-05
1493616000,0.57545846,9.713e-05,9.713e-05,9.713e-05,9.713e-05,9.713e-05
1493616300,0.75848258,9.716e-05,9.777e-05,9.777e-05,9.715e-05,9.717e-05
1493616600,2.23495372,9.793e-05,9.817e-05,9.817e-05,9.793e-05,9.799e-05
1493616900,3.7817601,9.821e-05,9.893e-05,9.911e-05,9.821e-05,9.887e-05
1493617200,0.14084311,9.821e-05,9.835e-05,9.835e-05,9.821e-05,9.822e-05
1493617500,0.00157251,9.836e-05,9.822e-05,9.836e-05,9.822e-05,9.828e-05
1493617800,0.00500367,9.822e-05,9.822e-05,9.822e-05,9.822e-05,9.822e-05
1493618100,0.34624401,9.844e-05,9.87e-05,9.87e-05,9.843e-05,9.862e-05
1493618400,2.38624389,9.821e-05,9.909e-05,9.909e-05,9.821e-05,9.882e-05
1493618700,0.14166617,9.901e-05,9.87e-05,9.903e-05,9.87e-05,9.896e-05
1493619000,0.01088966,9.875e-05,9.9e-05,9.9e-05,9.875e-05,9.875e-05
1493619300,0.05184325,9.876e-05,9.876e-05,9.876e-05,9.876e-05,9.876e-05
1493619600,1.18261583,9.877e-05,9.875e-05,9.904e-05,9.875e-05,9.875e-05
1493619900,0.11385057,9.875e-05,9.876e-05,9.876e-05,9.875e-05,9.875e-05
1493620200,0.284309,9.872e-05,9.871e-05,9.872e-05,9.87e-05,9.87e-05
1493620500,0.22763773,9.871e-05,9.876e-05,9.876e-05,9.87e-05,9.87e-05
1493620800,0.18439029,9.87e-05,9.87e-05,9.87e-05,9.87e-05,9.87e-05
1493621100,0.06696308,9.84e-05,9.8e-05,9.84e-05,9.8e-05,9.806e-05
1493621400,0,9.8e-05,9.8e-05,9.8e-05,9.8e-05,9.8e-05
1493621700,0.21586907,9.798e-05,9.796e-05,9.8e-05,9.795e-05,9.796e-05
1493622000,0.09931489,9.795e-05,9.763e-05,9.795e-05,9.763e-05,9.785e-05
1493622300,0.21797494,9.776e-05,9.713e-05,9.776e-05,9.713e-05,9.726e-05
1493622600,0.82865683,9.717e-05,9.79e-05,9.793e-05,9.717e-05,9.757e-05
1493622900,0.23971436,9.791e-05,9.798e-05,9.798e-05,9.723e-05,9.76e-05
1493623200,0.11447436,9.798e-05,9.82e-05,9.82e-05,9.798e-05,9.799e-05
1493623500,0.2831474,9.798e-05,9.798e-05,9.821e-05,9.798e-05,9.806e-05
1493623800,2.15014071,9.821e-05,9.64e-05,9.821e-05,9.64e-05,9.705e-05
1493624100,0.53264524,9.645e-05,9.657e-05,9.778e-05,9.642e-05,9.65e-05
1493624400,0.82114267,9.717e-05,9.601e-05,9.717e-05,9.601e-05,9.622e-05
1493624700,0.41817118,9.664e-05,9.687e-05,9.7e-05,9.65e-05,9.676e-05
1493625000,0.00969455,9.694e-05,9.686e-05,9.694e-05,9.686e-05,9.689e-05
1493625300,0.04593824,9.71e-05,9.69e-05,9.71e-05,9.69e-05,9.691e-05
1493625600,0.08375766,9.702e-05,9.73e-05,9.73e-05,9.702e-05,9.704e-05
1493625900,0.05259861,9.764e-05,9.775e-05,9.775e-05,9.764e-05,9.766e-05
1493626200,0.13988921,9.784e-05,9.764e-05,9.797e-05,9.764e-05,9.783e-05
1493626500,0.41270455,9.764e-05,9.68e-05,9.769e-05,9.68e-05,9.714e-05
1493626800,0.92223432,9.712e-05,9.783e-05,9.788e-05,9.653e-05,9.695e-05
1493627100,0.15976571,9.778e-05,9.754e-05,9.778e-05,9.655e-05,9.703e-05
1493627400,0.00577951,9.754e-05,9.74e-05,9.754e-05,9.74e-05,9.751e-05
1493627700,0.24194328,9.657e-05,9.617e-05,9.657e-05,9.617e-05,9.652e-05
1493628000,0.01592109,9.618e-05,9.616e-05,9.619e-05,9.616e-05,9.616e-05
1493628300,0.00290734,9.69e-05,9.687e-05,9.69e-05,9.618e-05,9.677e-05
1493628600,0,9.687e-05,9.687e-05,9.687e-05,9.687e-05,9.687e-05
1493628900,0.32409587,9.679e-05,9.698e-05,9.698e-05,9.679e-05,9.695e-05
1493629200,0.00292968,9.698e-05,9.699e-05,9.699e-05,9.698e-05,9.698e-05
1493629500,4.54417753,9.681e-05,9.678e-05,9.681e-05,9.59e-05,9.606e-05
1493629800,0.05489929,9.594e-05,9.594e-05,9.594e-05,9.593e-05,9.593e-05
1493630100,0.29601189,9.646e-05,9.652e-05,9.652e-05,9.596e-05,9.649e-05
1493630400,0.25219057,9.595e-05,9.596e-05,9.648e-05,9.592e-05,9.601e-05
1493630700,0.0021638,9.625e-05,9.625e-05,9.625e-05,9.625e-05,9.625e-05
1493631000,0.02678593,9.625e-05,9.625e-05,9.625e-05,9.625e-05,9.625e-05
1493631300,0.44812583,9.654e-05,9.657e-05,9.657e-05,9.654e-05,9.655e-05
1493631600,0.3027312,9.688e-05,9.75e-05,9.75e-05,9.688e-05,9.71e-05
1493631900,0.19863373,9.735e-05,9.701e-05,9.735e-05,9.701e-05,9.704e-05
1493632200,3.08817574,9.73e-05,9.782e-05,9.83e-05,9.634e-05,9.762e-05
1493632500,0.04797588,9.67e-05,9.679e-05,9.679e-05,9.668e-05,9.67e-05
1493632800,0.08148649,9.695e-05,9.697e-05,9.748e-05,9.695e-05,9.71e-05
1493633100,0.02802214,9.707e-05,9.708e-05,9.708e-05,9.707e-05,9.707e-05
1493633400,0,9.708e-05,9.708e-05,9.708e-05,9.708e-05,9.708e-05
1493633700,0.2737211,9.709e-05,9.8e-05,9.8e-05,9.709e-05,9.783e-05
1493634000,3.32748505,9.798e-05,9.9e-05,9.901e-05,9.798e-05,9.871e-05
1493634300,0.06281887,9.831e-05,9.754e-05,9.831e-05,9.754e-05,9.786e-05
1493634600,0.01343557,9.759e-05,9.768e-05,9.768e-05,9.759e-05,9.76e-05
1493634900,0.02321525,9.784e-05,9.83e-05,9.83e-05,9.784e-05,9.826e-05
1493635200,0.28142784,9.83e-05,9.776e-05,9.837e-05,9.776e-05,9.798e-05
1493635500,0.59609868,9.79e-05,9.799e-05,9.799e-05,9.79e-05,9.79e-05
1493635800,0.01730463,9.79e-05,9.81e-05,9.81e-05,9.78e-05,9.784e-05
1493636100,0.74242034,9.809e-05,9.782e-05,9.86e-05,9.782e-05,9.834e-05
1493636400,0.17625513,9.847e-05,9.854e-05,9.854e-05,9.847e-05,9.849e-05
1493636700,1.15674822,9.782e-05,9.781e-05,9.784e-05,9.781e-05,9.783e-05
1493637000,1.30150218,9.78e-05,9.774e-05,9.78e-05,9.774e-05,9.775e-05
1493637300,0.68490546,9.774e-05,9.774e-05,9.777e-05,9.774e-05,9.774e-05
1493637600,0.0661802,9.773e-05,9.768e-05,9.773e-05,9.768e-05,9.77e-05
1493637900,0.11855763,9.768e-05,9.781e-05,9.781e-05,9.768e-05,9.779e-05
1493638200,0.34241577,9.769e-05,9.781e-05,9.781e-05,9.769e-05,9.778e-05
1493638500,0.02227272,9.8e-05,9.8e-05,9.8e-05,9.8e-05,9.8e-05
1493638800,1.87048984,9.81e-05,9.906e-05,9.906e-05,9.81e-05,9.856e-05
1493639100,0.02633237,9.825e-05,9.868e-05,9.868e-05,9.825e-05,9.826e-05
1493639400,0.04910872,9.868e-05,9.89e-05,9.89e-05,9.868e-05,9.881e-05
1493639700,0.07952876,9.831e-05,9.832e-05,9.832e-05,9.831e-05,9.831e-05
1493640000,0.73290223,9.831e-05,9.831e-05,9.831e-05,9.8e-05,9.806e-05
1493640300,1.89692264,9.831e-05,9.769e-05,9.831e-05,9.768e-05,9.77e-05
1493640600,0.5559682,9.817e-05,9.768e-05,9.872e-05,9.768e-05,9.818e-05
1493640900,0.71404182,9.769e-05,9.853e-05,9.857e-05,9.768e-05,9.809e-05
1493641200,0.13412847,9.801e-05,9.775e-05,9.801e-05,9.775e-05,9.799e-05
1493641500,0.00395604,9.775e-05,9.815e-05,9.815e-05,9.775e-05,9.794e-05
1493641800,0.5317153,9.8e-05,9.8e-05,9.839e-05,9.8e-05,9.814e-05
1493642100,0.05702255,9.773e-05,9.772e-05,9.773e-05,9.772e-05,9.772e-05
1493642400,0.01121106,9.773e-05,9.773e-05,9.773e-05,9.773e-05,9.773e-05
1493642700,0.65018851,9.8e-05,9.82e-05,9.822e-05,9.769e-05,9.808e-05
1493643000,0.64519272,9.769e-05,9.768e-05,9.769e-05,9.768e-05,9.768e-05
1493643300,0.76880093,9.768e-05,9.768e-05,9.768e-05,9.768e-05,9.768e-05
1493643600,9.71432739,9.768e-05,9.729e-05,9.768e-05,9.5e-05,9.652e-05
1493643900,0.70815261,9.7e-05,9.608e-05,9.7e-05,9.537e-05,9.554e-05
1493644200,0.64209637,9.595e-05,9.541e-05,9.619e-05,9.541e-05,9.573e-05
1493644500,2.89558725,9.553e-05,9.576e-05,9.579e-05,9.47e-05,9.49e-05
1493644800,0.21488914,9.573e-05,9.589e-05,9.59e-05,9.573e-05,9.584e-05
1493645100,0.57202778,9.583e-05,9.582e-05,9.583e-05,9.515e-05,9.536e-05
1493645400,0.83594625,9.584e-05,9.506e-05,9.584e-05,9.506e-05,9.552e-05
1493645700,0.07893906,9.592e-05,9.551e-05,9.592e-05,9.551e-05,9.589e-05
1493646000,0.34558732,9.55e-05,9.631e-05,9.631e-05,9.526e-05,9.595e-05
1493646300,0.08203842,9.633e-05,9.636e-05,9.636e-05,9.633e-05,9.633e-05
1493646600,0.46879877,9.699e-05,9.7e-05,9.701e-05,9.699e-05,9.7e-05
1493646900,0.05316576,9.7e-05,9.7e-05,9.702e-05,9.7e-05,9.7e-05
1493647200,0.00178551,9.649e-05,9.649e-05,9.649e-05,9.649e-05,9.649e-05
1493647500,0.05367867,9.651e-05,9.684e-05,9.684e-05,9.622e-05,9.643e-05
1493647800,0.578813,9.69e-05,9.622e-05,9.69e-05,9.622e-05,9.624e-05
1493648100,0.01192907,9.622e-05,9.66e-05,9.679e-05,9.622e-05,9.661e-05
1493648400,0.45076002,9.66e-05,9.622e-05,9.66e-05,9.622e-05,9.622e-05
1493648700,1.28229842,9.622e-05,9.622e-05,9.659e-05,9.622e-05,9.622e-05
1493649000,0.04784611,9.659e-05,9.659e-05,9.659e-05,9.659e-05,9.659e-05
1493649300,0.2459199,9.659e-05,9.66e-05,9.66e-05,9.623e-05,9.659e-05
1493649600,3.47137726,9.66e-05,9.5e-05,9.66e-05,9.5e-05,9.569e-05
1493649900,0.59617454,9.544e-05,9.508e-05,9.606e-05,9.504e-05,9.514e-05
1493650200,0.01024108,9.563e-05,9.563e-05,9.563e-05,9.563e-05,9.563e-05
1493650500,1.11104139,9.592e-05,9.473e-05,9.597e-05,9.473e-05,9.532e-05
1493650800,5.74771409,9.484e-05,9.437e-05,9.486e-05,9.437e-05,9.453e-05
1493651100,1.54433277,9.437e-05,9.399e-05,9.437e-05,9.399e-05,9.425e-05
1493651400,1.02601835,9.399e-05,9.385e-05,9.413e-05,9.385e-05,9.391e-05
1493651700,0.39284852,9.386e-05,9.424e-05,9.424e-05,9.385e-05,9.405e-05
1493652000,0.87261146,9.384e-05,9.424e-05,9.424e-05,9.381e-05,9.382e-05
1493652300,0.70925115,9.424e-05,9.445e-05,9.447e-05,9.4e-05,9.419e-05
1493652600,0.94396351,9.445e-05,9.379e-05,9.446e-05,9.379e-05,9.387e-05
1493652900,0.13269233,9.445e-05,9.445e-05,9.445e-05,9.445e-05,9.445e-05
1493653200,0.0309062,9.446e-05,9.447e-05,9.447e-05,9.446e-05,9.446e-05
1493653500,1.05886497,9.446e-05,9.548e-05,9.548e-05,9.446e-05,9.522e-05
1493653800,0.04231488,9.474e-05,9.508e-05,9.548e-05,9.408e-05,9.516e-05
1493654100,0.11221745,9.41e-05,9.411e-05,9.42e-05,9.4e-05,9.406e-05
1493654400,0.6119621,9.411e-05,9.41e-05,9.5e-05,9.41e-05,9.425e-05
1493654700,0.54701419,9.487e-05,9.384e-05,9.5e-05,9.382e-05,9.471e-05
1493655000,0.00333449,9.389e-05,9.444e-05,9.444e-05,9.389e-05,9.427e-05
1493655300,0.31730642,9.444e-05,9.385e-05,9.444e-05,9.385e-05,9.385e-05
1493655600,0.03678999,9.465e-05,9.4e-05,9.465e-05,9.4e-05,9.417e-05
1493655900,0.73387649,9.419e-05,9.38e-05,9.419e-05,9.38e-05,9.384e-05
1493656200,0.86079532,9.396e-05,9.351e-05,9.4e-05,9.347e-05,9.379e-05
1493656500,1.55257302,9.346e-05,9.32e-05,9.346e-05,9.314e-05,9.324e-05
1493656800,0.51951811,9.314e-05,9.314e-05,9.314e-05,9.3e-05,9.304e-05
1493657100,2.24217731,9.303e-05,9.265e-05,9.303e-05,9.244e-05,9.276e-05
1493657400,5.68063492,9.268e-05,9.302e-05,9.537e-05,9.203e-05,9.27e-05
1493657700,1.63949264,9.513e-05,9.372e-05,9.518e-05,9.203e-05,9.359e-05
1493658000,0.01120081,9.275e-05,9.41e-05,9.41e-05,9.275e-05,9.382e-05
1493658300,0.27104843,9.283e-05,9.283e-05,9.283e-05,9.283e-05,9.283e-05
1493658600,0.46588998,9.299e-05,9.294e-05,9.31e-05,9.294e-05,9.299e-05
1493658900,2.89902297,9.295e-05,9.203e-05,9.295e-05,9.203e-05,9.211e-05
1493659200,1.10365125,9.203e-05,9.202e-05,9.28e-05,9.202e-05,9.21e-05
1493659500,15.94043713,9.202e-05,9.2e-05,9.202e-05,9.2e-05,9.2e-05
1493659800,14.19188564,9.2e-05,9.656e-05,9.66e-05,9.124e-05,9.245e-05
1493660100,0.51129148,9.328e-05,9.4e-05,9.654e-05,9.209e-05,9.284e-05
1493660400,0.23551554,9.4e-05,9.44e-05,9.44e-05,9.37e-05,9.399e-05
1493660700,1.43382136,9.502e-05,9.4e-05,9.602e-05,9.4e-05,9.5e-05
1493661000,1.31281983,9.4e-05,9.211e-05,9.4e-05,9.211e-05,9.338e-05
1493661300,0.26826651,9.239e-05,9.313e-05,9.313e-05,9.239e-05,9.311e-05
1493661600,0.13144443,9.417e-05,9.413e-05,9.417e-05,9.322e-05,9.36e-05
1493661900,0.15699706,9.406e-05,9.312e-05,9.414e-05,9.311e-05,9.368e-05
1493662200,0.40890846,9.312e-05,9.31e-05,9.312e-05,9.229e-05,9.299e-05
1493662500,0.02920889,9.251e-05,9.295e-05,9.303e-05,9.241e-05,9.271e-05
1493662800,0.10180529,9.295e-05,9.295e-05,9.297e-05,9.295e-05,9.295e-05
1493663100,0.46469828,9.295e-05,9.31e-05,9.31e-05,9.295e-05,9.304e-05
1493663400,0.20327944,9.296e-05,9.249e-05,9.296e-05,9.249e-05,9.288e-05
1493663700,28.15403638,9.247e-05,9.024e-05,9.247e-05,8.899e-05,8.962e-05
1493664000,0.46097802,9.086e-05,9.296e-05,9.296e-05,9.08e-05,9.138e-05
1493664300,0.084291,9.104e-05,9.103e-05,9.104e-05,9.103e-05,9.103e-05
1493664600,0.96308961,9.102e-05,8.908e-05,9.102e-05,8.901e-05,8.981e-05
1493664900,0.76037637,8.998e-05,9.03e-05,9.045e-05,8.998e-05,9.01e-05
1493665200,0.44704181,9.033e-05,9.089e-05,9.089e-05,9.03e-05,9.035e-05
1493665500,0.95406976,9.088e-05,9.389e-05,9.389e-05,9.088e-05,9.244e-05
1493665800,0.44258169,9.386e-05,9.169e-05,9.4e-05,9.154e-05,9.364e-05
1493666100,1.50571463,9.172e-05,9.2e-05,9.356e-05,9.055e-05,9.088e-05
1493666400,0.01068741,9.207e-05,9.176e-05,9.209e-05,9.176e-05,9.206e-05
1493666700,4.05404529,9.177e-05,9.054e-05,9.207e-05,9e-05,9.012e-05
1493667000,7.76950269,9.06e-05,9e-05,9.167e-05,9e-05,9.003e-05
1493667300,0.23425056,9.162e-05,9.05e-05,9.162e-05,9.05e-05,9.062e-05
1493667600,0.06379268,9.075e-05,9.05e-05,9.075e-05,9.05e-05,9.05e-05
1493667900,0.87729298,9.053e-05,9.017e-05,9.093e-05,9.017e-05,9.049e-05
1493668200,0.85850249,9.082e-05,8.993e-05,9.082e-05,8.993e-05,9.004e-05
1493668500,2.46198796,8.987e-05,9.082e-05,9.082e-05,8.977e-05,8.99e-05
1493668800,2.01974689,9.078e-05,9.071e-05,9.078e-05,8.908e-05,8.967e-05
1493669100,28.47991697,8.98e-05,8.86e-05,9.01e-05,8.84e-05,8.899e-05
1493669400,1.83308181,8.84e-05,8.789e-05,8.865e-05,8.789e-05,8.827e-05
1493669700,0.80190525,8.789e-05,8.792e-05,8.793e-05,8.744e-05,8.774e-05
1493670000,0.18490222,8.744e-05,8.774e-05,8.776e-05,8.744e-05,8.76e-05
1493670300,0.16493833,8.774e-05,8.714e-05,8.774e-05,8.714e-05,8.744e-05
1493670600,0.00427726,8.746e-05,8.715e-05,8.746e-05,8.715e-05,8.74e-05
1493670900,0.16039487,8.717e-05,8.721e-05,8.721e-05,8.714e-05,8.717e-05
1493671200,1.21760738,8.721e-05,8.732e-05,8.732e-05,8.7e-05,8.71e-05
1493671500,5.5213844,8.738e-05,8.57e-05,8.739e-05,8.57e-05,8.592e-05
1493671800,3.23660705,8.573e-05,8.644e-05,8.657e-05,8.564e-05,8.579e-05
1493672100,1.59873849,8.571e-05,8.5e-05,8.571e-05,8.5e-05,8.549e-05
1493672400,2.70741436,8.571e-05,8.386e-05,8.605e-05,8.274e-05,8.454e-05
1493672700,0.18136874,8.391e-05,8.405e-05,8.469e-05,8.39e-05,8.407e-05
1493673000,0.56012932,8.405e-05,8.41e-05,8.455e-05,8.405e-05,8.42e-05
1493673300,0.28203685,8.465e-05,8.44e-05,8.558e-05,8.44e-05,8.509e-05
1493673600,0.98148218,8.415e-05,8.412e-05,8.415e-05,8.401e-05,8.408e-05
1493673900,1.1747753,8.401e-05,8.385e-05,8.401e-05,8.385e-05,8.4e-05
1493674200,0.38682685,8.373e-05,8.332e-05,8.373e-05,8.329e-05,8.344e-05
1493674500,1.17318695,8.326e-05,8.265e-05,8.329e-05,8.129e-05,8.207e-05
1493674800,1.47883089,8.254e-05,8.264e-05,8.264e-05,8.254e-05,8.259e-05
1493675100,15.01682453,8.275e-05,8.336e-05,8.336e-05,8.2e-05,8.21e-05
1493675400,1.49851297,8.214e-05,8.489e-05,8.493e-05,8.201e-05,8.394e-05
1493675700,0.25352794,8.472e-05,8.601e-05,8.601e-05,8.472e-05,8.528e-05
1493676000,0.24604323,8.601e-05,8.603e-05,8.605e-05,8.6e-05,8.603e-05
1493676300,0.12963489,8.603e-05,8.605e-05,8.605e-05,8.6e-05,8.604e-05
1493676600,0.48274635,8.605e-05,8.63e-05,8.63e-05,8.604e-05,8.612e-05
1493676900,0.19978421,8.63e-05,8.63e-05,8.63e-05,8.63e-05,8.63e-05
1493677200,0.06424875,8.611e-05,8.612e-05,8.612e-05,8.611e-05,8.611e-05
1493677500,0.0486578,8.612e-05,8.612e-05,8.612e-05,8.612e-05,8.612e-05
1493677800,0.07456772,8.612e-05,8.635e-05,8.635e-05,8.612e-05,8.624e-05
1493678100,0.16321798,8.635e-05,8.635e-05,8.635e-05,8.635e-05,8.635e-05
1493678400,0.00208826,8.615e-05,8.637e-05,8.637e-05,8.615e-05,8.617e-05
1493678700,0.92592778,8.643e-05,8.818e-05,8.83e-05,8.643e-05,8.803e-05
1493679000,6.06780002,8.815e-05,8.707e-05,8.972e-05,8.707e-05,8.82e-05
1493679300,0.0120182,8.819e-05,8.818e-05,8.82e-05,8.818e-05,8.819e-05
1493679600,1.34291077,8.712e-05,8.702e-05,8.759e-05,8.702e-05,8.707e-05
1493679900,0.22664369,8.701e-05,8.6e-05,8.701e-05,8.6e-05,8.67e-05
1493680200,0.10724057,8.654e-05,8.6e-05,8.654e-05,8.6e-05,8.651e-05
1493680500,0.6988035,8.593e-05,8.6e-05,8.6e-05,8.581e-05,8.587e-05
1493680800,0,8.6e-05,8.6e-05,8.6e-05,8.6e-05,8.6e-05
1493681100,0.00315046,8.656e-05,8.681e-05,8.681e-05,8.656e-05,8.656e-05
1493681400,0.88077785,8.68e-05,8.708e-05,8.708e-05,8.68e-05,8.707e-05
1493681700,0.37190386,8.731e-05,8.881e-05,8.881e-05,8.731e-05,8.787e-05
1493682000,0.03058776,8.829e-05,8.804e-05,8.829e-05,8.803e-05,8.811e-05
1493682300,0.12324963,8.8e-05,8.88e-05,8.88e-05,8.796e-05,8.799e-05
1493682600,0.10259924,8.881e-05,8.881e-05,8.881e-05,8.88e-05,8.88e-05
1493682900,0.00011113,8.882e-05,8.882e-05,8.882e-05,8.882e-05,8.882e-05
