Date, Volume, Open, Close, High, Low, WeightedAvg
1493596800,0.02119735,1.98e-06,1.99e-06,1.99e-06,1.98e-06,1.98e-06
1493597100,0.05432356,1.99e-06,1.99e-06,1.99e-06,1.99e-06,1.99e-06
1493597400,0.32247481,1.98e-06,1.98e-06,1.98e-06,1.95e-06,1.96e-06
1493597700,0.59517681,1.98e-06,1.97e-06,1.99e-06,1.94e-06,1.94e-06
1493598000,0.95132747,1.96e-06,1.94e-06,1.96e-06,1.94e-06,1.94e-06
1493598300,0.50187288,1.97e-06,1.96e-06,1.97e-06,1.94e-06,1.94e-06
1493598600,0.0245077,1.95e-06,1.95e-06,1.95e-06,1.94e-06,1.94e-06
1493598900,0.32298847,1.94e-06,1.95e-06,1.95e-06,1.93e-06,1.93e-06
1493599200,0.48066917,1.95e-06,1.96e-06,1.97e-06,1.95e-06,1.96e-06
1493599500,0.15706928,1.97e-06,1.98e-06,1.98e-06,1.97e-06,1.97e-06
1493599800,0.2549403,1.98e-06,1.97e-06,1.98e-06,1.93e-06,1.94e-06
1493600100,0.15591398,1.96e-06,1.94e-06,1.96e-06,1.94e-06,1.94e-06
1493600400,0.43783392,1.97e-06,1.99e-06,1.99e-06,1.97e-06,1.97e-06
1493600700,0.04160479,1.99e-06,1.97e-06,1.99e-06,1.97e-06,1.98e-06
1493601000,0.03363259,1.97e-06,1.94e-06,1.97e-06,1.94e-06,1.96e-06
1493601300,0.06883274,1.97e-06,1.97e-06,1.98e-06,1.97e-06,1.97e-06
1493601600,0.03647234,1.98e-06,1.97e-06,1.98e-06,1.97e-06,1.97e-06
1493601900,0.09897355,1.96e-06,1.98e-06,1.98e-06,1.96e-06,1.97e-06
1493602200,0,1.98e-06,1.98e-06,1.98e-06,1.98e-06,1.98e-06
1493602500,0.07601552,1.98e-06,1.95e-06,1.98e-06,1.95e-06,1.97e-06
1493602800,1.02599841,1.97e-06,1.99e-06,1.99e-06,1.97e-06,1.98e-06
1493603100,2.04251467,1.99e-06,2.02e-06,2.07e-06,1.99e-06,2.03e-06
1493603400,0.9161184,2.03e-06,2.08e-06,2.09e-06,2.02e-06,2.08e-06
1493603700,0.25283563,2.09e-06,2.04e-06,2.09e-06,2.04e-06,2.08e-06
1493604000,1.48381372,2.04e-06,2.08e-06,2.08e-06,2.04e-06,2.07e-06
1493604300,0.91999785,2.05e-06,2.03e-06,2.08e-06,2.03e-06,2.05e-06
1493604600,3.24789211,2.05e-06,2.03e-06,2.05e-06,1.95e-06,1.98e-06
1493604900,0.10236781,2.02e-06,2.03e-06,2.03e-06,2.02e-06,2.02e-06
1493605200,0.55993575,2.03e-06,2.03e-06,2.04e-06,2.01e-06,2.02e-06
1493605500,0.0526252,2.02e-06,2.04e-06,2.04e-06,2.02e-06,2.03e-06
1493605800,1.31254359,2.02e-06,2e-06,2.02e-06,1.97e-06,1.98e-06
1493606100,2.04117795,1.99e-06,2e-06,2e-06,1.97e-06,1.97e-06
1493606400,0.02118145,2e-06,2e-06,2e-06,2e-06,2e-06
1493606700,1.24419284,1.99e-06,1.99e-06,2e-06,1.97e-06,1.97e-06
1493607000,0.07397429,1.98e-06,1.97e-06,1.98e-06,1.97e-06,1.97e-06
1493607300,0.02555886,1.98e-06,1.97e-06,1.98e-06,1.97e-06,1.97e-06
1493607600,0.06050139,1.98e-06,1.98e-06,1.98e-06,1.97e-06,1.97e-06
1493607900,0.4461031,1.97e-06,1.96e-06,1.98e-06,1.96e-06,1.96e-06
1493608200,0.00278351,1.97e-06,1.98e-06,1.98e-06,1.96e-06,1.97e-06
1493608500,0.23196753,1.97e-06,1.95e-06,1.97e-06,1.95e-06,1.95e-06
1493608800,0.00400335,1.95e-06,1.95e-06,1.95e-06,1.95e-06,1.95e-06
1493609100,0.08309202,1.96e-06,1.95e-06,1.96e-06,1.95e-06,1.95e-06
1493609400,0.22395847,1.96e-06,1.98e-06,1.98e-06,1.96e-06,1.97e-06
1493609700,0.06972398,1.98e-06,1.99e-06,1.99e-06,1.98e-06,1.98e-06
1493610000,0.05806204,1.99e-06,1.99e-06,1.99e-06,1.98e-06,1.98e-06
