Date, Volume, Open, Close, High, Low, WeightedAvg
1493596800,0.30532955,8.48e-06,8.61e-06,8.61e-06,8.48e-06,8.58e-06
1493597100,0.06533125,8.59e-06,8.62e-06,8.62e-06,8.5e-06,8.57e-06
1493597400,0.00357957,8.51e-06,8.51e-06,8.51e-06,8.5e-06,8.5e-06
1493597700,0.18261018,8.5e-06,8.7e-06,8.7e-06,8.5e-06,8.61e-06
1493598000,0.2300327,8.7e-06,8.72e-06,8.75e-06,8.69e-06,8.71e-06
1493598300,4.49869653,8.7e-06,8.98e-06,8.98e-06,8.7e-06,8.89e-06
1493598600,0.77950416,8.97e-06,8.98e-06,9.09e-06,8.97e-06,9e-06
1493598900,0.32388877,8.99e-06,9.02e-06,9.09e-06,8.95e-06,8.99e-06
1493599200,1.60577208,8.97e-06,9.06e-06,9.11e-06,8.78e-06,8.95e-06
1493599500,1.5373216,9.06e-06,9.07e-06,9.07e-06,8.95e-06,9e-06
1493599800,1.28699661,9.08e-06,9.19e-06,9.2e-06,9.08e-06,9.19e-06
1493600100,1.83455636,9.19e-06,9.3e-06,9.3e-06,9.09e-06,9.18e-06
1493600400,0.75768385,9.3e-06,9.33e-06,9.33e-06,9.3e-06,9.31e-06
1493600700,0.76454808,9.33e-06,9.36e-06,9.36e-06,9.33e-06,9.35e-06
1493601000,2.45259916,9.37e-06,9.38e-06,9.38e-06,9.37e-06,9.37e-06
1493601300,0.54244875,9.38e-06,9.39e-06,9.43e-06,9.38e-06,9.39e-06
1493601600,0.79520758,9.39e-06,9.43e-06,9.43e-06,9.38e-06,9.38e-06
1493601900,0.00983575,9.43e-06,9.42e-06,9.43e-06,9.42e-06,9.42e-06
1493602200,0.21596517,9.41e-06,9.39e-06,9.44e-06,9.38e-06,9.42e-06
1493602500,2.34072128,9.38e-06,9.38e-06,9.38e-06,9.38e-06,9.38e-06
1493602800,2.25044341,9.38e-06,9.42e-06,9.43e-06,9.38e-06,9.41e-06
1493603100,1.98285967,9.34e-06,9.24e-06,9.34e-06,9.24e-06,9.24e-06
1493603400,0.62486723,9.22e-06,9.21e-06,9.26e-06,9.21e-06,9.21e-06
1493603700,0.57625173,9.26e-06,9.18e-06,9.26e-06,9.18e-06,9.2e-06
1493604000,0.77259253,9.17e-06,9.1e-06,9.17e-06,9.1e-06,9.11e-06
1493604300,1.29358678,9.1e-06,9e-06,9.1e-06,8.91e-06,8.99e-06
1493604600,0.12722302,9e-06,8.9e-06,9.09e-06,8.9e-06,9.06e-06
1493604900,0.00259217,9.1e-06,9.1e-06,9.1e-06,9.1e-06,9.1e-06
1493605200,0.96581559,8.9e-06,8.89e-06,8.9e-06,8.81e-06,8.81e-06
1493605500,4.49797766,8.88e-06,8.82e-06,8.88e-06,8.6e-06,8.68e-06
1493605800,0.83192751,8.82e-06,8.81e-06,8.82e-06,8.75e-06,8.8e-06
1493606100,0.05001965,8.8e-06,8.78e-06,8.81e-06,8.75e-06,8.79e-06
1493606400,0.04226796,8.8e-06,8.8e-06,8.8e-06,8.79e-06,8.79e-06
1493606700,0.00077692,8.8e-06,8.8e-06,8.8e-06,8.8e-06,8.8e-06
1493607000,0.01900358,8.8e-06,8.8e-06,8.8e-06,8.8e-06,8.8e-06
1493607300,1.90016356,8.79e-06,8.55e-06,8.79e-06,8.5e-06,8.56e-06
1493607600,0.24649832,8.57e-06,8.68e-06,8.73e-06,8.57e-06,8.66e-06
1493607900,0.75432655,8.68e-06,8.76e-06,8.76e-06,8.68e-06,8.72e-06
1493608200,1.11500799,8.73e-06,8.65e-06,8.75e-06,8.61e-06,8.7e-06
1493608500,1.00722156,8.6e-06,8.55e-06,8.6e-06,8.55e-06,8.58e-06
1493608800,0.93682136,8.66e-06,8.68e-06,8.75e-06,8.58e-06,8.73e-06
1493609100,0.12333053,8.66e-06,8.72e-06,8.73e-06,8.66e-06,8.67e-06
1493609400,0.67949997,8.72e-06,8.56e-06,8.72e-06,8.56e-06,8.59e-06
1493609700,0.04378129,8.56e-06,8.61e-06,8.61e-06,8.56e-06,8.6e-06
1493610000,0.0259007,8.6e-06,8.61e-06,8.61e-06,8.6e-06,8.6e-06
1493610300,0.03343657,8.6e-06,8.71e-06,8.71e-06,8.6e-06,8.7e-06
1493610600,0.193812,8.72e-06,8.72e-06,8.72e-06,8.72e-06,8.72e-06
1493610900,0.26936869,8.72e-06,8.74e-06,8.74e-06,8.69e-06,8.72e-06
1493611200,0.12305748,8.62e-06,8.74e-06,8.74e-06,8.62e-06,8.73e-06
1493611500,1.0056438,8.74e-06,8.66e-06,8.78e-06,8.62e-06,8.74e-06
1493611800,0.61012701,8.66e-06,8.58e-06,8.66e-06,8.54e-06,8.58e-06
1493612100,0.07005264,8.67e-06,8.6e-06,8.67e-06,8.6e-06,8.65e-06
1493612400,3.52625718,8.58e-06,8.66e-06,8.66e-06,8.58e-06,8.6e-06
1493612700,0.69855579,8.65e-06,8.59e-06,8.7e-06,8.59e-06,8.64e-06
1493613000,0.00236127,8.61e-06,8.6e-06,8.61e-06,8.6e-06,8.6e-06
1493613300,0.02383795,8.7e-06,8.72e-06,8.72e-06,8.67e-06,8.7e-06
1493613600,0.06950681,8.67e-06,8.68e-06,8.69e-06,8.67e-06,8.68e-06
1493613900,0.00751017,8.67e-06,8.67e-06,8.67e-06,8.67e-06,8.67e-06
1493614200,1.33151737,8.73e-06,8.68e-06,8.73e-06,8.61e-06,8.64e-06
1493614500,1.08993536,8.69e-06,8.77e-06,8.81e-06,8.58e-06,8.62e-06
1493614800,0.91833064,8.75e-06,8.71e-06,8.83e-06,8.71e-06,8.8e-06
1493615100,0.01972045,8.83e-06,8.73e-06,8.83e-06,8.72e-06,8.72e-06
1493615400,0.64601444,8.8e-06,8.7e-06,8.8e-06,8.7e-06,8.7e-06
1493615700,0.00125825,8.7e-06,8.7e-06,8.7e-06,8.7e-06,8.7e-06
1493616000,0,8.7e-06,8.7e-06,8.7e-06,8.7e-06,8.7e-06
1493616300,0.39420273,8.7e-06,8.71e-06,8.71e-06,8.67e-06,8.7e-06
1493616600,0.13484616,8.67e-06,8.6e-06,8.67e-06,8.6e-06,8.62e-06
1493616900,0.0589909,8.59e-06,8.59e-06,8.59e-06,8.58e-06,8.58e-06
1493617200,0.58747648,8.58e-06,8.53e-06,8.58e-06,8.53e-06,8.57e-06
1493617500,0.6291001,8.53e-06,8.58e-06,8.58e-06,8.52e-06,8.52e-06
1493617800,0.00810362,8.54e-06,8.53e-06,8.54e-06,8.53e-06,8.53e-06
1493618100,0.24540191,8.54e-06,8.58e-06,8.58e-06,8.54e-06,8.57e-06
1493618400,0.00063284,8.58e-06,8.58e-06,8.58e-06,8.58e-06,8.58e-06
1493618700,0.09999999,8.58e-06,8.58e-06,8.58e-06,8.58e-06,8.58e-06
1493619000,0.1550429,8.58e-06,8.53e-06,8.58e-06,8.53e-06,8.56e-06
1493619300,0.25657687,8.53e-06,8.52e-06,8.53e-06,8.52e-06,8.52e-06
1493619600,0.17020878,8.53e-06,8.52e-06,8.53e-06,8.52e-06,8.52e-06
1493619900,0.01796394,8.52e-06,8.53e-06,8.53e-06,8.52e-06,8.52e-06
1493620200,0.17921215,8.53e-06,8.53e-06,8.53e-06,8.52e-06,8.52e-06
1493620500,0.00188216,8.52e-06,8.53e-06,8.53e-06,8.52e-06,8.52e-06
1493620800,0.07076808,8.53e-06,8.53e-06,8.53e-06,8.53e-06,8.53e-06
