Date, Volume, Open, Close, High, Low, WeightedAvg
1493596800,0.0010138,6.215e-05,6.215e-05,6.215e-05,6.215e-05,6.215e-05
1493597100,0.06077822,6.215e-05,6.221e-05,6.277e-05,6.215e-05,6.226e-05
1493597400,1.05292542,6.284e-05,6.222e-05,6.339e-05,6.221e-05,6.314e-05
1493597700,0.24143054,6.28e-05,6.241e-05,6.28e-05,6.241e-05,6.242e-05
1493598000,0.04272867,6.251e-05,6.241e-05,6.251e-05,6.241e-05,6.241e-05
1493598300,0.1251289,6.28e-05,6.28e-05,6.28e-05,6.241e-05,6.278e-05
1493598600,0.14927971,6.25e-05,6.25e-05,6.25e-05,6.25e-05,6.25e-05
1493598900,0.00540674,6.273e-05,6.255e-05,6.275e-05,6.255e-05,6.271e-05
1493599200,0.22687412,6.252e-05,6.251e-05,6.252e-05,6.251e-05,6.251e-05
1493599500,0.00298444,6.253e-05,6.255e-05,6.255e-05,6.253e-05,6.254e-05
1493599800,2.23960741,6.26e-05,6.255e-05,6.28e-05,6.255e-05,6.267e-05
1493600100,0.6026765,6.255e-05,6.265e-05,6.265e-05,6.251e-05,6.251e-05
1493600400,0.5214842,6.265e-05,6.28e-05,6.28e-05,6.265e-05,6.279e-05
1493600700,0.12757724,6.279e-05,6.271e-05,6.279e-05,6.271e-05,6.276e-05
1493601000,0.01049638,6.27e-05,6.27e-05,6.27e-05,6.27e-05,6.27e-05
1493601300,0,6.27e-05,6.27e-05,6.27e-05,6.27e-05,6.27e-05
1493601600,0.48950361,6.27e-05,6.27e-05,6.27e-05,6.27e-05,6.27e-05
1493601900,0,6.27e-05,6.27e-05,6.27e-05,6.27e-05,6.27e-05
1493602200,2.89171378,6.27e-05,6.414e-05,6.414e-05,6.27e-05,6.368e-05
1493602500,1.04766748,6.405e-05,6.329e-05,6.416e-05,6.286e-05,6.385e-05
1493602800,0.04137527,6.327e-05,6.299e-05,6.327e-05,6.299e-05,6.304e-05
1493603100,0,6.299e-05,6.299e-05,6.299e-05,6.299e-05,6.299e-05
1493603400,0.22772271,6.305e-05,6.329e-05,6.329e-05,6.305e-05,6.309e-05
1493603700,0.02584155,6.329e-05,6.341e-05,6.341e-05,6.329e-05,6.329e-05
1493604000,0.04176481,6.347e-05,6.342e-05,6.347e-05,6.341e-05,6.343e-05
1493604300,0.10526673,6.343e-05,6.342e-05,6.343e-05,6.342e-05,6.342e-05
1493604600,0.05816206,6.343e-05,6.348e-05,6.348e-05,6.343e-05,6.346e-05
1493604900,0.61026435,6.348e-05,6.341e-05,6.356e-05,6.341e-05,6.343e-05
1493605200,0.02773148,6.334e-05,6.294e-05,6.334e-05,6.294e-05,6.309e-05
1493605500,0.2461968,6.345e-05,6.348e-05,6.348e-05,6.345e-05,6.347e-05
1493605800,0.04553048,6.319e-05,6.318e-05,6.319e-05,6.318e-05,6.318e-05
1493606100,0.28032002,6.318e-05,6.373e-05,6.373e-05,6.3e-05,6.316e-05
1493606400,0.00159883,6.375e-05,6.375e-05,6.375e-05,6.375e-05,6.375e-05
1493606700,0.01109611,6.375e-05,6.322e-05,6.375e-05,6.322e-05,6.324e-05
1493607000,0.01177579,6.32e-05,6.341e-05,6.353e-05,6.32e-05,6.339e-05
1493607300,0.00596527,6.353e-05,6.372e-05,6.372e-05,6.353e-05,6.362e-05
1493607600,5.7247892,6.341e-05,6.334e-05,6.366e-05,6.241e-05,6.287e-05
