Date, Volume, Open, Close, High, Low, WeightedAvg
1493596800,0.00170418,8.765e-05,8.765e-05,8.765e-05,8.765e-05,8.765e-05
1493597100,0.1088927,8.765e-05,8.765e-05,8.765e-05,8.765e-05,8.765e-05
1493597400,0,8.765e-05,8.765e-05,8.765e-05,8.765e-05,8.765e-05
1493597700,0,8.765e-05,8.765e-05,8.765e-05,8.765e-05,8.765e-05
1493598000,0.28368439,8.731e-05,8.686e-05,8.731e-05,8.686e-05,8.714e-05
1493598300,0.01059986,8.758e-05,8.758e-05,8.758e-05,8.758e-05,8.758e-05
1493598600,0.00059632,8.758e-05,8.758e-05,8.758e-05,8.758e-05,8.758e-05
1493598900,0,8.758e-05,8.758e-05,8.758e-05,8.758e-05,8.758e-05
1493599200,0,8.758e-05,8.758e-05,8.758e-05,8.758e-05,8.758e-05
1493599500,0,8.758e-05,8.758e-05,8.758e-05,8.758e-05,8.758e-05
1493599800,0.00434136,8.697e-05,8.693e-05,8.697e-05,8.693e-05,8.695e-05
1493600100,0.0005946,8.734e-05,8.734e-05,8.734e-05,8.734e-05,8.734e-05
1493600400,1.56270277,8.734e-05,8.8e-05,8.8e-05,8.734e-05,8.768e-05
1493600700,0.80215334,8.815e-05,8.701e-05,8.821e-05,8.701e-05,8.714e-05
1493601000,0.70263327,8.768e-05,8.816e-05,8.816e-05,8.768e-05,8.812e-05
1493601300,0.00114229,8.818e-05,8.818e-05,8.818e-05,8.818e-05,8.818e-05
1493601600,0,8.818e-05,8.818e-05,8.818e-05,8.818e-05,8.818e-05
1493601900,0,8.818e-05,8.818e-05,8.818e-05,8.818e-05,8.818e-05
1493602200,0.00059802,8.818e-05,8.818e-05,8.818e-05,8.818e-05,8.818e-05
1493602500,0,8.818e-05,8.818e-05,8.818e-05,8.818e-05,8.818e-05
1493602800,0,8.818e-05,8.818e-05,8.818e-05,8.818e-05,8.818e-05
1493603100,0,8.818e-05,8.818e-05,8.818e-05,8.818e-05,8.818e-05
1493603400,0,8.818e-05,8.818e-05,8.818e-05,8.818e-05,8.818e-05
1493603700,0,8.818e-05,8.818e-05,8.818e-05,8.818e-05,8.818e-05
1493604000,0.00060014,8.818e-05,8.818e-05,8.818e-05,8.818e-05,8.818e-05
1493604300,0,8.818e-05,8.818e-05,8.818e-05,8.818e-05,8.818e-05
1493604600,0,8.818e-05,8.818e-05,8.818e-05,8.818e-05,8.818e-05
1493604900,0.08596662,8.818e-05,8.821e-05,8.821e-05,8.818e-05,8.819e-05
1493605200,0.00499999,8.824e-05,8.824e-05,8.824e-05,8.824e-05,8.824e-05
