Date, Volume, Open, Close, High, Low, WeightedAvg
1493596800,0.28212651,0.00027186,0.0002727,0.0002727,0.00027186,0.00027253
1493597100,0,0.0002727,0.0002727,0.0002727,0.0002727,0.0002727
1493597400,0.3577372,0.00027179,0.0002727,0.0002727,0.00027179,0.00027268
1493597700,0,0.0002727,0.0002727,0.0002727,0.0002727,0.0002727
1493598000,0.15801899,0.00027451,0.00027393,0.00027453,0.00027359,0.00027442
1493598300,0.00936372,0.00027359,0.00027359,0.00027359,0.00027359,0.00027359
1493598600,0.03516988,0.00027359,0.00027359,0.00027359,0.00027359,0.00027359
1493598900,0.2369718,0.0002739,0.00027391,0.00027393,0.0002729,0.00027391
1493599200,0.03020505,0.00027391,0.00027398,0.00027398,0.00027391,0.00027391
1493599500,0.00051432,0.000274,0.000274,0.000274,0.000274,0.000274
1493599800,0.01141891,0.000274,0.00027391,0.000274,0.00027391,0.00027393
1493600100,0.00208034,0.00027391,0.00027391,0.00027391,0.00027391,0.00027391
1493600400,0.02560085,0.00027391,0.000274,0.000274,0.00027391,0.00027399
1493600700,0.08714429,0.00027282,0.00027434,0.00027434,0.00027282,0.00027428
1493601000,0,0.00027434,0.00027434,0.00027434,0.00027434,0.00027434
1493601300,0.00521493,0.00027447,0.00027447,0.00027447,0.00027447,0.00027447
1493601600,0.10207422,0.00027448,0.00027287,0.00027448,0.00027287,0.0002733
1493601900,0.00081132,0.00027287,0.00027287,0.00027287,0.00027287,0.00027287
1493602200,0.00549428,0.00027471,0.00027472,0.00027472,0.00027471,0.00027471
1493602500,0.06157972,0.00027301,0.00027301,0.00027301,0.000273,0.000273
1493602800,0.00369335,0.00027307,0.00027415,0.00027415,0.00027307,0.00027387
1493603100,0.0003057,0.00027415,0.00027415,0.00027415,0.00027415,0.00027415
1493603400,0.00537025,0.00027479,0.00027461,0.00027479,0.00027461,0.00027475
1493603700,0.05089521,0.00027463,0.00027472,0.00027472,0.00027463,0.00027465
1493604000,0.02788266,0.00027478,0.0002748,0.0002748,0.00027478,0.00027479
1493604300,0.03202396,0.00027488,0.00027499,0.000275,0.00027488,0.00027499
1493604600,0.00030742,0.00027499,0.00027499,0.00027499,0.00027499,0.00027499
1493604900,0.00166512,0.00027499,0.00027499,0.00027499,0.00027499,0.00027499
1493605200,3.13449888,0.00027499,0.00027691,0.00028114,0.00027499,0.00027817
1493605500,0.10453683,0.00027706,0.00027984,0.00027984,0.00027706,0.00027706
1493605800,0.06577357,0.00027987,0.00027757,0.00027987,0.00027757,0.00027792
1493606100,0.58097127,0.0002775,0.00027577,0.0002775,0.00027524,0.00027548
1493606400,0.02785759,0.00027577,0.00027577,0.00027577,0.00027577,0.00027577
1493606700,0.01397051,0.00027587,0.00027543,0.00027587,0.00027509,0.00027542
1493607000,0.52235099,0.00027585,0.00027744,0.00027945,0.00027585,0.000279
1493607300,0.30967642,0.00027744,0.00027949,0.0002808,0.00027744,0.0002797
1493607600,0.1578622,0.0002795,0.00028115,0.00028115,0.00027949,0.00028086
1493607900,0.24586327,0.00028022,0.00028022,0.00028022,0.00027949,0.0002802
1493608200,1.44812008,0.000281,0.0002795,0.00028115,0.0002795,0.0002807
1493608500,0.00854597,0.00028021,0.0002795,0.00028021,0.0002795,0.00028016
1493608800,1.23948658,0.000281,0.00027953,0.00028175,0.00027951,0.000281
1493609100,0.99159358,0.00027952,0.00028098,0.00028098,0.0002795,0.00027951
1493609400,0,0.00028098,0.00028098,0.00028098,0.00028098,0.00028098
1493609700,0.00288177,0.00027951,0.0002795,0.00027951,0.0002795,0.0002795
1493610000,1.51425337,0.0002795,0.00027993,0.00028345,0.0002795,0.0002817
1493610300,0.00034856,0.00027977,0.00027977,0.00027977,0.00027977,0.00027977
1493610600,0.0082554,0.00028011,0.00028011,0.00028011,0.00028011,0.00028011
1493610900,0.12561868,0.00028011,0.00028153,0.00028153,0.00028011,0.00028101
1493611200,0.00333295,0.00028154,0.00028106,0.00028154,0.00028106,0.0002811
1493611500,0.21063724,0.00028106,0.0002795,0.00028106,0.0002795,0.00028011
1493611800,0.01560336,0.0002795,0.0002795,0.00027951,0.0002795,0.0002795
1493612100,0.39047822,0.00027951,0.0002795,0.00027951,0.0002795,0.0002795
1493612400,0.00254414,0.0002795,0.0002795,0.0002795,0.0002795,0.0002795
1493612700,0.05593716,0.00027948,0.00027948,0.00027948,0.00027948,0.00027948
1493613000,1.04474534,0.00027948,0.00028294,0.00028294,0.00027948,0.00028227
1493613300,0.00819738,0.00028201,0.00028272,0.00028272,0.00028201,0.00028208
1493613600,0.05428384,0.00027955,0.00027981,0.00028191,0.00027955,0.00027971
1493613900,0.02745348,0.0002798,0.0002795,0.0002798,0.0002795,0.0002795
1493614200,0.00477547,0.00027948,0.00027948,0.00027948,0.00027948,0.00027948
1493614500,0.24011139,0.00027949,0.00027947,0.00027949,0.00027947,0.00027947
1493614800,0.01256335,0.00027949,0.00027981,0.00027981,0.00027947,0.00027975
1493615100,0.75908595,0.00027947,0.00027946,0.00027947,0.00027946,0.00027946
1493615400,0.01833209,0.00027946,0.00027979,0.00027979,0.00027946,0.00027971
1493615700,2.92653729,0.00027979,0.00027498,0.00027979,0.00027466,0.00027646
1493616000,1.46440628,0.00027512,0.00027466,0.00027512,0.00027466,0.00027481
1493616300,0.00594132,0.00027517,0.00027468,0.00027517,0.00027468,0.00027475
1493616600,0.32892362,0.00027616,0.00027468,0.00027616,0.00027465,0.00027465
1493616900,0.06463349,0.00027666,0.00027468,0.00027666,0.00027468,0.00027655
1493617200,0.88791237,0.00027681,0.00027677,0.00027681,0.00027466,0.00027675
1493617500,1.08644039,0.00027678,0.00027496,0.000278,0.00027496,0.00027779
1493617800,0.04421624,0.000275,0.00027505,0.00027505,0.000275,0.00027501
1493618100,0.08484674,0.00027588,0.00027781,0.00027781,0.00027588,0.00027775
1493618400,0.14668337,0.00027786,0.00027521,0.00027946,0.00027521,0.00027609
1493618700,0.03732514,0.00027548,0.00027573,0.00027577,0.00027548,0.00027573
1493619000,0.70116755,0.00027569,0.00027588,0.00028,0.00027569,0.00027932
1493619300,0.04059114,0.00027706,0.00027663,0.00028,0.00027663,0.00027876
1493619600,8.72100518,0.0002799,0.0002799,0.0002799,0.000265,0.00027092
1493619900,7.06824093,0.00027226,0.00028246,0.000283,0.000272,0.00027815
1493620200,0.09104078,0.00027967,0.00027748,0.00027967,0.00027748,0.0002794
1493620500,0.11345566,0.00027797,0.0002781,0.00027827,0.00027797,0.00027813
1493620800,0.05102728,0.00027748,0.00027692,0.00027748,0.00027691,0.00027727
1493621100,0.02808508,0.00027693,0.00027827,0.00027827,0.00027693,0.00027825
1493621400,0.00166137,0.00027697,0.00027827,0.00027827,0.00027697,0.00027746
1493621700,0.01327413,0.00027697,0.00027696,0.00027697,0.00027696,0.00027696
1493622000,0.09123484,0.00027826,0.00027827,0.00027827,0.00027826,0.00027826
1493622300,0.48484532,0.00027697,0.00027694,0.00027697,0.00027694,0.00027694
1493622600,3.38324483,0.00027693,0.00027999,0.00028,0.00027,0.00027507
1493622900,0.37930982,0.00028,0.00027999,0.00028096,0.00027999,0.00028019
1493623200,0.2114522,0.00027999,0.00028,0.00028141,0.00027999,0.00028101
1493623500,0.00837988,0.00028001,0.00028001,0.00028001,0.00028001,0.00028001
1493623800,0.05766862,0.00028003,0.00027957,0.00028003,0.00027957,0.00028
1493624100,0.79787542,0.00027986,0.00028,0.00028,0.00027986,0.00027998
1493624400,0.22412348,0.00028001,0.00028003,0.00028003,0.00028001,0.00028002
1493624700,0.47074507,0.00028,0.00028,0.00028,0.00027999,0.00027999
1493625000,0.36799377,0.00027957,0.0002743,0.00027957,0.00027272,0.00027427
1493625300,0.00447362,0.00027558,0.00027558,0.00027558,0.00027558,0.00027558
1493625600,0.02544156,0.00027753,0.00027468,0.00027753,0.00027468,0.00027536
1493625900,0.41343494,0.00027724,0.00027533,0.00027746,0.00027533,0.00027743
1493626200,0.00019699,0.00027618,0.00027618,0.00027618,0.00027618,0.00027618
1493626500,0.58701837,0.000276,0.00027682,0.00027745,0.000276,0.00027686
1493626800,0.10928231,0.00027681,0.0002768,0.00027681,0.0002768,0.0002768
1493627100,0.22713434,0.0002743,0.00027367,0.0002743,0.00027353,0.00027364
1493627400,0.49871831,0.0002736,0.00027689,0.00027704,0.0002736,0.00027677
1493627700,0.07475087,0.00027443,0.00027577,0.00027578,0.00027443,0.0002756
1493628000,1.01680064,0.00027577,0.0002758,0.00028003,0.00027577,0.00027857
1493628300,0.11844208,0.00027721,0.00027578,0.000278,0.00027578,0.00027733
1493628600,0,0.00027578,0.00027578,0.00027578,0.00027578,0.00027578
1493628900,0.00479019,0.00027585,0.00027585,0.00027586,0.00027585,0.00027585
1493629200,0.53688612,0.00027586,0.0002799,0.0002799,0.00027586,0.00027633
1493629500,0.05449089,0.00027586,0.00028001,0.00028001,0.00027585,0.00027973
1493629800,0.17033526,0.000276,0.00027585,0.00027991,0.00027585,0.00027627
1493630100,0.43833722,0.00027585,0.00027586,0.00027991,0.00027585,0.00027638
1493630400,1.10783197,0.00027588,0.00027591,0.00027591,0.00027581,0.00027583
1493630700,0.09692947,0.00027855,0.00027597,0.00027988,0.00027597,0.00027602
1493631000,0.00038433,0.00027636,0.00027636,0.00027636,0.00027636,0.00027636
1493631300,0,0.00027636,0.00027636,0.00027636,0.00027636,0.00027636
1493631600,0.02789983,0.00027636,0.00027944,0.00027944,0.00027636,0.00027645
1493631900,0.1118682,0.00027836,0.0002799,0.0002799,0.00027836,0.00027967
1493632200,1.20011065,0.00027839,0.00028153,0.00028153,0.00027839,0.00028089
1493632500,0.00083614,0.00027905,0.00027905,0.00027905,0.00027905,0.00027905
1493632800,0.09572174,0.00027824,0.00028,0.00028,0.00027824,0.0002796
1493633100,0.28191269,0.00028,0.0002785,0.00028153,0.0002775,0.00028134
1493633400,0.35548942,0.00027755,0.0002758,0.00027755,0.0002758,0.00027638
1493633700,0.03251567,0.00027623,0.00027655,0.00027656,0.00027623,0.00027653
1493634000,0,0.00027655,0.00027655,0.00027655,0.00027655,0.00027655
1493634300,0,0.00027655,0.00027655,0.00027655,0.00027655,0.00027655
1493634600,0.52331652,0.00027777,0.00028138,0.00028138,0.00027777,0.00028055
1493634900,0.02701825,0.00028137,0.00028138,0.00028139,0.00028137,0.00028138
1493635200,0.61367839,0.00027746,0.00028144,0.00028144,0.00027746,0.00028112
1493635500,0,0.00028144,0.00028144,0.00028144,0.00028144,0.00028144
1493635800,0,0.00028144,0.00028144,0.00028144,0.00028144,0.00028144
1493636100,0.0167298,0.00027883,0.00027883,0.00027883,0.00027883,0.00027883
1493636400,0.01627956,0.0002788,0.00028137,0.00028137,0.00027749,0.00027779
1493636700,0.44123023,0.00028035,0.00027772,0.00028145,0.00027772,0.00028125
1493637000,0.58233478,0.00027799,0.000278,0.0002781,0.0002775,0.000278
1493637300,0.00580661,0.00027839,0.000278,0.00027839,0.000278,0.00027812
1493637600,0.01399728,0.00027859,0.00028,0.00028,0.00027859,0.00027994
1493637900,0.75492172,0.00027803,0.00027675,0.00027803,0.00027675,0.00027703
1493638200,0.05116562,0.00027675,0.0002771,0.0002771,0.00027674,0.00027675
1493638500,0.00609521,0.0002771,0.00027706,0.0002771,0.00027706,0.00027709
1493638800,0.02034496,0.00027706,0.0002771,0.0002771,0.00027706,0.00027706
