Date, Volume, Open, Close, High, Low, WeightedAvg
1493596800,4.0085249,7.2e-06,7.4e-06,7.4e-06,7.13e-06,7.34e-06
1493597100,12.79415056,7.4e-06,7.5e-06,7.51e-06,7.4e-06,7.47e-06
1493597400,3.75462848,7.51e-06,7.59e-06,7.6e-06,7.49e-06,7.52e-06
1493597700,3.99629565,7.56e-06,7.57e-06,7.59e-06,7.35e-06,7.49e-06
1493598000,3.17289417,7.57e-06,7.62e-06,7.62e-06,7.54e-06,7.56e-06
1493598300,10.34914583,7.62e-06,7.51e-06,7.63e-06,7.45e-06,7.54e-06
1493598600,15.07539078,7.51e-06,7.63e-06,7.63e-06,7.48e-06,7.57e-06
1493598900,15.89910004,7.63e-06,7.93e-06,7.93e-06,7.63e-06,7.86e-06
1493599200,6.01011946,7.93e-06,7.66e-06,7.93e-06,7.66e-06,7.85e-06
1493599500,6.56456022,7.72e-06,7.7e-06,7.74e-06,7.54e-06,7.63e-06
1493599800,2.56995251,7.71e-06,7.78e-06,7.78e-06,7.7e-06,7.72e-06
1493600100,9.81224034,7.77e-06,7.9e-06,7.9e-06,7.77e-06,7.82e-06
1493600400,7.64456046,7.88e-06,7.98e-06,7.98e-06,7.88e-06,7.93e-06
1493600700,51.11326178,7.97e-06,8.17e-06,8.26e-06,7.97e-06,8.12e-06
1493601000,16.5072025,8.16e-06,8.43e-06,8.43e-06,8.14e-06,8.25e-06
1493601300,32.49392926,8.43e-06,8.41e-06,8.5e-06,8.34e-06,8.43e-06
1493601600,9.36061309,8.42e-06,8.44e-06,8.44e-06,8.38e-06,8.41e-06
1493601900,14.06969061,8.43e-06,8.5e-06,8.5e-06,8.38e-06,8.42e-06
1493602200,50.04886112,8.5e-06,8.88e-06,8.9e-06,8.49e-06,8.65e-06
1493602500,27.78723243,8.88e-06,8.7e-06,8.88e-06,8.6e-06,8.73e-06
1493602800,23.70269253,8.69e-06,8.5e-06,8.7e-06,8.39e-06,8.47e-06
1493603100,17.68592345,8.57e-06,8.7e-06,8.79e-06,8.57e-06,8.69e-06
1493603400,9.15139906,8.71e-06,8.67e-06,8.73e-06,8.53e-06,8.68e-06
1493603700,4.29738388,8.69e-06,8.5e-06,8.69e-06,8.5e-06,8.58e-06
1493604000,33.51390675,8.51e-06,7.82e-06,8.59e-06,7.79e-06,8.04e-06
1493604300,24.73455859,7.83e-06,8.25e-06,8.28e-06,7.79e-06,8.12e-06
1493604600,21.52170238,8.25e-06,7.97e-06,8.27e-06,7.78e-06,8.03e-06
1493604900,6.6963068,7.98e-06,7.94e-06,8.1e-06,7.94e-06,8e-06
1493605200,25.20443812,7.93e-06,7.78e-06,7.94e-06,7.6e-06,7.76e-06
1493605500,10.59585762,7.79e-06,8.16e-06,8.16e-06,7.6e-06,7.91e-06
1493605800,11.89273148,8.16e-06,8.12e-06,8.23e-06,7.98e-06,8.11e-06
1493606100,12.49305001,8.13e-06,7.83e-06,8.14e-06,7.79e-06,7.95e-06
1493606400,16.88091592,7.83e-06,7.96e-06,8.02e-06,7.75e-06,7.86e-06
1493606700,2.65239712,7.95e-06,7.97e-06,7.97e-06,7.84e-06,7.89e-06
1493607000,0.8732541,7.98e-06,8.03e-06,8.03e-06,7.94e-06,7.99e-06
1493607300,15.70485074,8.03e-06,8.01e-06,8.15e-06,8.01e-06,8.09e-06
1493607600,22.80726348,8.03e-06,8.52e-06,8.62e-06,8.01e-06,8.35e-06
1493607900,14.62225185,8.52e-06,8.6e-06,8.6e-06,8.47e-06,8.56e-06
1493608200,28.65814158,8.59e-06,8.36e-06,8.6e-06,8.21e-06,8.37e-06
1493608500,6.94845326,8.35e-06,8.36e-06,8.38e-06,8.3e-06,8.36e-06
1493608800,6.54175485,8.36e-06,8.17e-06,8.36e-06,8.17e-06,8.23e-06
1493609100,3.66443612,8.17e-06,8.13e-06,8.25e-06,8.1e-06,8.17e-06
1493609400,4.63103302,8.12e-06,8.31e-06,8.33e-06,8.12e-06,8.21e-06
1493609700,1.12907674,8.31e-06,8.24e-06,8.31e-06,8.08e-06,8.15e-06
1493610000,2.01000939,8.23e-06,8.21e-06,8.23e-06,8.16e-06,8.19e-06
1493610300,1.04953963,8.2e-06,8.16e-06,8.22e-06,8.16e-06,8.18e-06
1493610600,4.78660407,8.15e-06,7.97e-06,8.18e-06,7.97e-06,8.08e-06
1493610900,13.18724118,7.97e-06,8.09e-06,8.3e-06,7.95e-06,8.08e-06
1493611200,16.02451485,8.09e-06,8.19e-06,8.4e-06,8.04e-06,8.31e-06
1493611500,5.08610916,8.27e-06,8.39e-06,8.39e-06,8.16e-06,8.25e-06
1493611800,11.54341536,8.4e-06,8.34e-06,8.46e-06,8.19e-06,8.37e-06
1493612100,1.0567654,8.34e-06,8.29e-06,8.4e-06,8.22e-06,8.3e-06
1493612400,3.60011111,8.3e-06,8.45e-06,8.45e-06,8.29e-06,8.42e-06
1493612700,7.48772642,8.44e-06,8.55e-06,8.6e-06,8.39e-06,8.52e-06
1493613000,3.526241,8.52e-06,8.41e-06,8.56e-06,8.41e-06,8.46e-06
1493613300,3.66221118,8.42e-06,8.51e-06,8.52e-06,8.41e-06,8.45e-06
1493613600,6.48120369,8.45e-06,8.48e-06,8.6e-06,8.45e-06,8.54e-06
1493613900,2.66678703,8.47e-06,8.51e-06,8.58e-06,8.46e-06,8.49e-06
1493614200,0.17389967,8.5e-06,8.46e-06,8.5e-06,8.46e-06,8.48e-06
1493614500,2.40911251,8.46e-06,8.42e-06,8.5e-06,8.42e-06,8.44e-06
1493614800,9.27576648,8.41e-06,8.16e-06,8.41e-06,8.16e-06,8.26e-06
