Date, Volume, Open, Close, High, Low, WeightedAvg
1493596800,3.23780357,3.59e-06,3.61e-06,3.61e-06,3.58e-06,3.58e-06
1493597100,5.93322005,3.61e-06,3.6e-06,3.62e-06,3.6e-06,3.61e-06
1493597400,11.3501436,3.62e-06,3.66e-06,3.67e-06,3.61e-06,3.63e-06
1493597700,2.89043583,3.67e-06,3.65e-06,3.67e-06,3.65e-06,3.65e-06
1493598000,4.27415384,3.65e-06,3.69e-06,3.69e-06,3.65e-06,3.66e-06
1493598300,10.83173442,3.68e-06,3.69e-06,3.69e-06,3.68e-06,3.68e-06
1493598600,5.88883759,3.68e-06,3.68e-06,3.69e-06,3.65e-06,3.66e-06
1493598900,1.90766809,3.68e-06,3.65e-06,3.68e-06,3.65e-06,3.66e-06
1493599200,1.41973074,3.66e-06,3.66e-06,3.68e-06,3.64e-06,3.66e-06
1493599500,1.67257304,3.67e-06,3.66e-06,3.68e-06,3.66e-06,3.66e-06
1493599800,1.22899051,3.65e-06,3.63e-06,3.65e-06,3.62e-06,3.63e-06
1493600100,2.01695962,3.63e-06,3.63e-06,3.64e-06,3.61e-06,3.62e-06
1493600400,12.15932772,3.62e-06,3.62e-06,3.66e-06,3.61e-06,3.63e-06
1493600700,8.58862144,3.65e-06,3.6e-06,3.65e-06,3.6e-06,3.62e-06
1493601000,0.21265501,3.63e-06,3.64e-06,3.64e-06,3.63e-06,3.63e-06
1493601300,1.65613097,3.64e-06,3.65e-06,3.65e-06,3.63e-06,3.64e-06
1493601600,1.11599524,3.65e-06,3.64e-06,3.65e-06,3.61e-06,3.62e-06
1493601900,1.02027923,3.64e-06,3.66e-06,3.66e-06,3.64e-06,3.65e-06
1493602200,2.94945875,3.66e-06,3.66e-06,3.67e-06,3.64e-06,3.65e-06
1493602500,2.84985782,3.65e-06,3.68e-06,3.69e-06,3.65e-06,3.66e-06
1493602800,17.76656838,3.67e-06,3.71e-06,3.76e-06,3.66e-06,3.72e-06
1493603100,5.49665818,3.72e-06,3.73e-06,3.75e-06,3.68e-06,3.72e-06
1493603400,5.35661006,3.73e-06,3.76e-06,3.76e-06,3.73e-06,3.74e-06
1493603700,1.98910545,3.76e-06,3.74e-06,3.76e-06,3.72e-06,3.74e-06
1493604000,3.95996985,3.73e-06,3.7e-06,3.74e-06,3.67e-06,3.68e-06
1493604300,1.64916887,3.69e-06,3.69e-06,3.69e-06,3.67e-06,3.67e-06
1493604600,2.31333601,3.69e-06,3.7e-06,3.71e-06,3.69e-06,3.69e-06
1493604900,0.0943138,3.7e-06,3.68e-06,3.7e-06,3.68e-06,3.68e-06
1493605200,1.600015,3.67e-06,3.69e-06,3.69e-06,3.67e-06,3.67e-06
1493605500,5.93400296,3.69e-06,3.71e-06,3.71e-06,3.68e-06,3.69e-06
1493605800,7.0470553,3.71e-06,3.72e-06,3.72e-06,3.69e-06,3.71e-06
1493606100,2.19481723,3.71e-06,3.7e-06,3.73e-06,3.69e-06,3.7e-06
1493606400,1.02615007,3.7e-06,3.73e-06,3.73e-06,3.69e-06,3.71e-06
1493606700,0.24262185,3.71e-06,3.73e-06,3.73e-06,3.69e-06,3.72e-06
1493607000,5.75753618,3.72e-06,3.69e-06,3.72e-06,3.66e-06,3.68e-06
1493607300,0.79141093,3.68e-06,3.69e-06,3.71e-06,3.68e-06,3.69e-06
1493607600,0.83590283,3.7e-06,3.68e-06,3.71e-06,3.68e-06,3.7e-06
1493607900,3.8549854,3.69e-06,3.68e-06,3.69e-06,3.66e-06,3.67e-06
1493608200,77.48186322,3.68e-06,3.9e-06,3.91e-06,3.66e-06,3.84e-06
