Date, Volume, Open, Close, High, Low, WeightedAvg
1493596800,7.39646975,3.831e-05,3.826e-05,3.835e-05,3.803e-05,3.815e-05
1493597100,4.40624628,3.826e-05,3.822e-05,3.828e-05,3.821e-05,3.823e-05
1493597400,10.14816647,3.822e-05,3.8e-05,3.822e-05,3.78e-05,3.803e-05
1493597700,3.66764244,3.781e-05,3.793e-05,3.82e-05,3.78e-05,3.811e-05
1493598000,20.12109364,3.794e-05,3.821e-05,3.844e-05,3.781e-05,3.82e-05
1493598300,23.57248171,3.821e-05,3.847e-05,3.847e-05,3.8e-05,3.831e-05
1493598600,40.49406579,3.842e-05,3.847e-05,3.905e-05,3.83e-05,3.873e-05
1493598900,12.45301459,3.847e-05,3.888e-05,3.913e-05,3.847e-05,3.894e-05
1493599200,22.19439885,3.895e-05,3.898e-05,3.899e-05,3.869e-05,3.875e-05
1493599500,35.06674791,3.889e-05,3.895e-05,3.913e-05,3.878e-05,3.887e-05
1493599800,34.18724017,3.9e-05,3.927e-05,3.929e-05,3.884e-05,3.916e-05
1493600100,20.00605361,3.928e-05,3.928e-05,3.934e-05,3.905e-05,3.925e-05
1493600400,17.70805801,3.932e-05,3.943e-05,3.958e-05,3.921e-05,3.942e-05
1493600700,24.47515709,3.949e-05,3.979e-05,3.988e-05,3.943e-05,3.972e-05
1493601000,22.50261683,3.977e-05,3.978e-05,3.98e-05,3.927e-05,3.968e-05
1493601300,36.36354258,3.975e-05,3.956e-05,3.983e-05,3.92e-05,3.961e-05
1493601600,64.7526057,3.928e-05,3.812e-05,3.948e-05,3.805e-05,3.854e-05
1493601900,40.31454961,3.812e-05,3.928e-05,3.928e-05,3.808e-05,3.867e-05
1493602200,15.39614848,3.905e-05,3.938e-05,3.938e-05,3.905e-05,3.926e-05
1493602500,6.34968089,3.936e-05,3.963e-05,3.963e-05,3.936e-05,3.952e-05
1493602800,20.44692958,3.956e-05,3.987e-05,3.987e-05,3.956e-05,3.971e-05
1493603100,198.41835465,3.98e-05,4.035e-05,4.1e-05,3.977e-05,4.019e-05
1493603400,26.73793763,4.014e-05,4.057e-05,4.067e-05,4e-05,4.029e-05
1493603700,92.71456323,4.044e-05,4.057e-05,4.124e-05,4e-05,4.045e-05
1493604000,22.85225314,4.073e-05,4.097e-05,4.13e-05,4.027e-05,4.088e-05
1493604300,12.58963526,4.094e-05,4.1e-05,4.101e-05,4.076e-05,4.096e-05
1493604600,25.49911596,4.1e-05,4.125e-05,4.136e-05,4.096e-05,4.112e-05
1493604900,21.70336597,4.124e-05,4.143e-05,4.15e-05,4.122e-05,4.135e-05
1493605200,66.67919508,4.144e-05,4.05e-05,4.199e-05,4.048e-05,4.138e-05
1493605500,55.57423997,4.05e-05,4.035e-05,4.075e-05,4e-05,4.027e-05
1493605800,89.95983293,4.004e-05,3.942e-05,4.035e-05,3.845e-05,3.927e-05
1493606100,52.44393251,3.926e-05,3.866e-05,3.95e-05,3.835e-05,3.886e-05
1493606400,22.95059272,3.899e-05,4.003e-05,4.003e-05,3.899e-05,3.969e-05
1493606700,26.9998153,4e-05,4.018e-05,4.049e-05,3.987e-05,4.017e-05
1493607000,10.13175379,4.031e-05,4.049e-05,4.049e-05,4.014e-05,4.038e-05
1493607300,14.9741245,4.048e-05,4.049e-05,4.059e-05,4.025e-05,4.047e-05
1493607600,24.2453817,4.049e-05,3.971e-05,4.06e-05,3.97e-05,4.012e-05
1493607900,7.69053944,3.971e-05,3.962e-05,3.971e-05,3.948e-05,3.954e-05
1493608200,8.49164721,3.963e-05,3.992e-05,3.997e-05,3.954e-05,3.981e-05
1493608500,13.00286607,3.992e-05,3.994e-05,4.009e-05,3.957e-05,3.991e-05
1493608800,14.04823724,3.995e-05,3.95e-05,4.007e-05,3.95e-05,3.967e-05
1493609100,13.78041682,3.952e-05,3.93e-05,3.978e-05,3.93e-05,3.945e-05
1493609400,6.34825343,3.93e-05,3.96e-05,3.966e-05,3.93e-05,3.941e-05
1493609700,8.20275715,3.945e-05,3.931e-05,3.974e-05,3.93e-05,3.95e-05
1493610000,11.54830217,3.93e-05,3.9e-05,3.958e-05,3.9e-05,3.919e-05
1493610300,18.12258518,3.918e-05,3.904e-05,3.919e-05,3.87e-05,3.885e-05
1493610600,5.96980989,3.905e-05,3.911e-05,3.92e-05,3.884e-05,3.903e-05
1493610900,49.20870144,3.919e-05,3.999e-05,3.999e-05,3.919e-05,3.973e-05
1493611200,9.03630042,3.97e-05,3.99e-05,4e-05,3.97e-05,3.992e-05
1493611500,25.48268141,3.999e-05,4.03e-05,4.04e-05,3.973e-05,4.014e-05
1493611800,3.49885362,4.029e-05,4.035e-05,4.04e-05,4.029e-05,4.033e-05
1493612100,20.68879306,4.035e-05,4e-05,4.047e-05,3.991e-05,4.031e-05
1493612400,11.85412699,4e-05,3.989e-05,4e-05,3.949e-05,3.978e-05
1493612700,4.62289364,3.989e-05,3.979e-05,3.99e-05,3.95e-05,3.962e-05
1493613000,15.55386539,3.965e-05,4.003e-05,4.035e-05,3.956e-05,4.003e-05
